title;slug;status;enabled;sku;price;stock;weight;description;coverImage;thumbnailImage;thumbnailHiddenImage;dimensions;origin;age;quote;quoteAuthor;quoteBackgroundColor;quoteExternalLinkURL;quoteExternalLinkLabel;textAndImageText;textAndImageImage;fullWidthImageImage;productCategory;productType;ageCategory;dimensionsRange;material;;;;
Wooden cabinet with original patina;Wooden cabinet with original patina;Enabled;Enabled;22310;2995;1;174,2 [lbs];No description yet;;;;H 81,5 x W 48,43 x D 17,72;UK;1900;;;;;;;;;;;20th Century;;;;;;
Wooden occasional table;Wooden occasional table;Enabled;Enabled;22311;795;1;116,87 [lbs];No description yet;;;;H 31,89 x W 45,47 x D 26,57;France;1900;;;;;;;;;;;20th Century;;;;;;
Bleached oak table;Bleached oak table;Enabled;Enabled;22312;895;1;99,23 [lbs];No description yet;;;;H 28,74 x W 48,43 x D 24,8;France;1880;;;;;;;;;;;19th Century;;;;;;
Wooden towel rack;Wooden towel rack;Enabled;Enabled;22313;225;1;3,09 [lbs];No description yet;;;;H 30,12 x W 22,05 x D 10,24;France;1900;;;;;;;;;;;20th Century;;;;;;
Bleached oak vitrine;Bleached oak vitrine;Enabled;Enabled;22314;3295;1;202,87 [lbs];No description yet;;;;H 95,67 x W 52,76 x D 19,69;France;1820;;;;;;;;;;;19th Century;;;;;;
Wooden side table with original patina;Wooden side table with original patina;Enabled;Enabled;22315;695;1;22,93 [lbs];No description yet;;;;H 25,59 x W 22,83 x D 22,83;France;1920;;;;;;;;;;;20th Century;;;;;;
Pair of wooden armchairs by J. Halabala;Pair of wooden armchairs by J. Halabala;Enabled;Enabled;22316;1595;2;44,32 [lbs];No description yet;;;;H 31,1 x W 25,59 x D 33,46;Czechia;1930;;;;;;;;;;;20th Century;;;;;;
Pair of wooden armchairs by J. Halabala;Pair of wooden armchairs by J. Halabala;Enabled;Enabled;22317;1595;2;22,71 [lbs];No description yet;;;;H 31,89 x W 23,62 x D 28,35;Czechia;1950;;;;;;;;;;;20th Century;;;;;;
Pair of wooden armchairs by J. Halabala;Pair of wooden armchairs by J. Halabala;Enabled;Enabled;22318;1595;2;46,09 [lbs];No description yet;;;;H 33,07 x W 25,98 x D 33,86;Czechia;1950;;;;;;;;;;;20th Century;;;;;;
Pair of wooden armchairs by J. Halabala;Pair of wooden armchairs by J. Halabala;Enabled;Enabled;22319;1595;2;45,42 [lbs];No description yet;;;;H 32,68 x W 27,17 x D 33,07;Czechia;1950;;;;;;;;;;;20th Century;;;;;;
Pair of wooden armchairs by J. Halabala;Pair of wooden armchairs by J. Halabala;Enabled;Enabled;22320;1595;2;32,64 [lbs];No description yet;;;;H 32,68 x W 23,23 x D 33,86;Czechia;1930;;;;;;;;;;;20th Century;;;;;;
Pair of wooden armchairs by J. Halabala;Pair of wooden armchairs by J. Halabala;Enabled;Enabled;22321;1595;2;29,33 [lbs];No description yet;;;;H 33,07 x W 22,83 x D 32,68;Czechia;1930;;;;;;;;;;;20th Century;;;;;;
Pair of wooden armchairs by J. Halabala;Pair of wooden armchairs by J. Halabala;Enabled;Enabled;22322;1595;2;43 [lbs];No description yet;;;;H 31,89 x W 26,38 x D 33,86;Czechia;1950;;;;;;;;;;;20th Century;;;;;;
Pair of wooden armchairs by J. Halabala;Pair of wooden armchairs by J. Halabala;Enabled;Enabled;22323;1595;2;23,81 [lbs];No description yet;;;;H 33,07 x W 23,62 x D 32,68;Czechia;1930;;;;;;;;;;;20th Century;;;;;;
Pair of wooden armchairs by J. Halabala;Pair of wooden armchairs by J. Halabala;Enabled;Enabled;22324;1895;2;23,81 [lbs];No description yet;;;;H 31,5 x W 23,62 x D 37,4;Czechia;1960;;;;;;;;;;;20th Century;;;;;;
Pair of wooden armchairs by J. Halabala;Pair of wooden armchairs by J. Halabala;Enabled;Enabled;22325;1595;2;30,65 [lbs];No description yet;;;;H 33,46 x W 23,62 x D 30,71;Czechia;1930;;;;;;;;;;;20th Century;;;;;;
Pair of wooden armchairs by J. Halabala;Pair of wooden armchairs by J. Halabala;Enabled;Enabled;22326;1595;2;36,16 [lbs];No description yet;;;;H 32,28 x W 26,77 x D 33,07;Czechia;1950;;;;;;;;;;;20th Century;;;;;;
Pair of wooden armchairs by J. Halabala;Pair of wooden armchairs by J. Halabala;Enabled;Enabled;22327;1995;2;38,37 [lbs];No description yet;;;;H 29,13 x W 25,98 x D 27,56;Czechia;1930;;;;;;;;;;;20th Century;;;;;;
Pair of wooden armchairs by K. Kozelka & A. Kropáček;Pair of wooden armchairs by K. Kozelka & A. Kropáček;Enabled;Enabled;22328;1795;2;39,25 [lbs];No description yet;;;;H 31,1 x W 26,77 x D 33,46;Czechia;1960;;;;;;;;;;;20th Century;;;;;;
Wooden armchair by J. Halabala;Wooden armchair by J. Halabala;Enabled;Enabled;22329;695;1;44,54 [lbs];No description yet;;;;H 31,89 x W 27,17 x D 33,86;Czechia;1950;;;;;;;;;;;20th Century;;;;;;
Wooden armchair by J. Halabala;Wooden armchair by J. Halabala;Enabled;Enabled;22330;695;1;40,79 [lbs];No description yet;;;;H 32,28 x W 25,2 x D 31,5;Czechia;1930;;;;;;;;;;;20th Century;;;;;;
Wooden armchair by J. Halabala;Wooden armchair by J. Halabala;Enabled;Enabled;22331;695;1;42,56 [lbs];No description yet;;;;H 31,89 x W 24,8 x D 33,07;Czechia;1930;;;;;;;;;;;20th Century;;;;;;
Wooden armchair by J. Halabala;Wooden armchair by J. Halabala;Enabled;Enabled;22332;695;1;47,63 [lbs];No description yet;;;;H 31,89 x W 26,77 x D 33,07;Czechia;1930;;;;;;;;;;;20th Century;;;;;;
Wooden armchair by J. Halabala;Wooden armchair by J. Halabala;Enabled;Enabled;22333;695;1;44,98 [lbs];No description yet;;;;H 32,28 x W 26,38 x D 34,65;Czechia;1950;;;;;;;;;;;20th Century;;;;;;
Wooden armchair by J. Halabala;Wooden armchair by J. Halabala;Enabled;Enabled;22334;695;1;39,69 [lbs];No description yet;;;;H 31,1 x W 25,98 x D 32,28;Czechia;1930;;;;;;;;;;;20th Century;;;;;;
Pair of wooden armchairs by J. Halabala;Pair of wooden armchairs by J. Halabala;Enabled;Enabled;22335;1595;2;41,46 [lbs];No description yet;;;;H 32,28 x W 26,38 x D 33,07;Czechia;1930;;;;;;;;;;;20th Century;;;;;;
Bleached oak buffet;Bleached oak buffet;Enabled;Enabled;22336;1895;1;158,77 [lbs];No description yet;;;;H 46,06 x W 59,06 x D 19,69;France;1860;;;;;;;;;;;19th Century;;;;;;
Bleached oak cabinet;Bleached oak cabinet;Enabled;Enabled;22337;3995;1;260,2 [lbs];No description yet;;;;H 96,85 x W 74,02 x D 25,59;Netherlands;1800;;;;;;;;;;;19th Century;;;;;;
Set of six metal & leather armchairs by Effezeta;Set of six metal & leather armchairs by Effezeta;Enabled;Enabled;22338;1795;6;23,59 [lbs];No description yet;;;;H 34,25 x W 21,06 x D 21,65;Italy;1980;;;;;;;;;;;20th Century;;;;;;
Wood black accent chair;Wood black accent chair;Enabled;Enabled;22366;145;94;8,38 [lbs];No description yet;;;;H 31,89 x W 16,14 x D 16,54;Poland;;;;;;;;;;;;Not defined;;;;;;
Wood painted floor lamp;Wood painted floor lamp;Enabled;Enabled;20241;795;1;26,46 [lbs];No description yet;;;;H 79,53 x W 27,56 x D 27,56;France;1850;;;;;;;;;;;19th Century;;;;;;
